codigo,status,count,message
402,ok,0,
401,ok,0,
400,ok,0,
405,ok,0,
404,ok,0,
407,ok,0,
398,ok,0,
399,ok,0,
406,ok,0,
410,ok,0,
409,ok,0,
412,ok,0,
414,ok,0,
411,ok,0,
415,ok,0,
418,ok,0,
420,ok,2,
419,ok,0,
416,ok,0,
408,ok,0,
421,ok,0,
424,ok,0,
413,ok,0,
429,ok,0,
428,ok,0,
426,ok,0,
425,ok,0,
431,ok,0,
427,ok,0,
422,ok,0,
417,ok,5,
432,ok,24,
436,ok,0,
434,ok,0,
435,ok,0,
442,ok,0,
423,ok,8,
437,ok,0,
438,ok,14,
439,ok,0,
440,ok,0,
433,ok,0,
441,ok,0,
445,ok,0,
443,ok,14,
444,ok,0,
446,ok,14,
430,ok,20,
447,ok,0,
449,ok,0,
451,ok,0,
450,ok,0,
448,ok,0,
455,ok,0,
452,ok,0,
460,ok,0,
456,ok,0,
459,ok,0,
458,ok,2,
454,ok,0,
463,ok,0,
457,ok,0,
465,ok,0,
464,ok,1,
462,ok,16,
466,ok,1,
467,ok,0,
453,ok,0,
469,ok,0,
471,ok,4,
470,ok,0,
472,ok,0,
474,ok,0,
473,ok,0,
476,ok,3,
475,ok,0,
461,ok,5,
479,ok,0,
478,ok,4,
480,ok,0,
481,ok,0,
483,ok,0,
482,ok,0,
477,ok,0,
487,ok,0,
486,ok,0,
484,ok,0,
489,ok,0,
492,ok,0,
491,ok,0,
488,ok,0,
493,ok,0,
468,ok,12,
495,ok,0,
496,ok,0,
485,ok,11,
494,ok,0,
498,ok,0,
497,ok,0,
499,ok,0,
503,ok,0,
490,ok,6,
500,ok,0,
502,ok,0,
505,ok,0,
508,ok,0,
506,ok,0,
510,ok,0,
511,ok,0,
513,ok,0,
507,ok,13,
514,ok,0,
519,ok,0,
515,ok,0,
517,ok,0,
501,ok,5,
504,ok,10,
518,ok,0,
522,ok,0,
520,ok,0,
525,ok,0,
526,ok,0,
512,ok,10,
509,ok,10,
524,ok,0,
523,ok,0,
521,ok,0,
516,ok,6,
529,ok,0,
527,ok,0,
530,ok,0,
532,ok,0,
528,ok,0,
534,ok,0,
533,ok,0,
535,ok,0,
539,ok,0,
536,ok,0,
538,ok,0,
537,ok,0,
543,ok,0,
540,ok,0,
542,ok,0,
544,ok,0,
531,ok,2,
545,ok,0,
546,ok,0,
548,ok,0,
549,ok,0,
547,ok,0,
550,ok,0,
551,ok,0,
555,ok,0,
553,ok,0,
552,ok,0,
556,ok,0,
559,ok,0,
557,ok,0,
554,ok,0,
561,ok,0,
562,ok,0,
563,ok,0,
541,ok,0,
566,ok,0,
564,ok,0,
567,ok,0,
568,ok,0,
571,ok,0,
570,ok,0,
572,ok,0,
573,ok,0,
558,ok,6,
577,ok,0,
560,ok,5,
579,ok,0,
578,ok,1,
580,ok,15,
565,ok,5,
576,ok,0,
569,ok,0,
581,ok,0,
583,ok,0,
582,ok,0,
590,ok,0,
585,ok,0,
586,ok,18,
589,ok,1,
584,ok,0,
574,ok,5,
575,ok,8,
591,ok,19,
594,ok,0,
592,ok,0,
593,ok,0,
597,ok,0,
598,ok,0,
599,ok,0,
595,ok,0,
588,ok,5,
587,ok,5,
600,ok,0,
607,ok,0,
604,ok,0,
605,ok,0,
610,ok,0,
601,ok,0,
608,ok,0,
611,ok,0,
596,ok,0,
603,ok,0,
602,ok,0,
614,ok,0,
612,ok,0,
613,ok,0,
615,ok,0,
606,ok,0,
619,ok,0,
618,ok,0,
609,ok,7,
621,ok,0,
620,ok,0,
616,ok,0,
622,ok,0,
617,ok,0,
623,ok,0,
626,ok,0,
625,ok,0,
624,ok,0,
627,ok,0,
628,ok,0,
631,ok,1,
629,ok,0,
630,ok,0,
632,ok,0,
636,ok,0,
637,ok,0,
633,ok,0,
641,ok,0,
638,ok,0,
639,ok,0,
635,ok,0,
634,ok,0,
642,ok,0,
645,ok,0,
644,ok,0,
640,ok,0,
643,ok,0,
647,ok,0,
646,ok,0,
648,ok,0,
649,ok,0,
650,ok,0,
658,ok,0,
652,ok,0,
651,ok,0,
659,ok,0,
660,ok,0,
653,ok,0,
656,ok,0,
655,ok,0,
663,ok,0,
662,ok,0,
666,ok,0,
661,ok,0,
668,ok,0,
664,ok,0,
657,ok,3,
665,ok,0,
654,ok,0,
667,ok,0,
669,ok,0,
672,ok,0,
670,ok,0,
673,ok,0,
674,ok,0,
675,ok,0,
671,ok,2,
678,ok,0,
676,ok,0,
677,ok,0,
684,ok,0,
685,ok,0,
682,ok,0,
683,ok,0,
681,ok,0,
679,ok,0,
686,ok,0,
680,ok,0,
687,ok,0,
688,ok,0,
689,ok,3,
691,ok,0,
690,ok,0,
692,ok,0,
693,ok,0,
694,ok,0,
695,ok,0,
698,ok,0,
697,ok,0,
702,ok,0,
700,ok,0,
696,ok,0,
703,ok,0,
699,ok,0,
701,ok,0,
705,ok,0,
706,ok,0,
704,ok,0,
707,ok,0,
709,ok,0,
710,ok,0,
708,ok,2,
713,ok,0,
711,ok,0,
712,ok,0,
714,ok,0,
717,ok,0,
718,ok,0,
716,ok,0,
719,ok,0,
720,ok,0,
721,ok,0,
725,ok,0,
722,ok,0,
723,ok,0,
726,ok,0,
724,ok,0,
729,ok,0,
727,ok,0,
728,ok,0,
730,ok,0,
731,ok,0,
734,ok,0,
732,ok,0,
733,ok,0,
736,ok,0,
735,ok,0,
737,ok,0,
739,ok,0,
715,ok,4,
738,ok,0,
741,ok,0,
740,ok,0,
744,ok,0,
743,ok,0,
742,ok,0,
746,ok,0,
751,ok,0,
750,ok,0,
747,ok,0,
753,ok,0,
745,ok,0,
749,ok,0,
752,ok,0,
755,ok,0,
754,ok,0,
756,ok,0,
758,ok,0,
748,ok,0,
757,ok,0,
759,ok,0,
761,ok,0,
760,ok,0,
763,ok,0,
764,ok,0,
762,ok,0,
765,ok,0,
767,ok,0,
770,ok,0,
766,ok,0,
768,ok,0,
769,ok,0,
771,ok,0,
778,ok,0,
775,ok,0,
773,ok,0,
774,ok,0,
776,ok,0,
777,ok,0,
780,ok,0,
779,ok,0,
772,ok,0,
782,ok,0,
781,ok,0,
785,ok,0,
790,ok,0,
783,ok,0,
784,ok,0,
787,ok,0,
789,ok,0,
786,ok,0,
788,ok,0,
792,ok,0,
791,ok,0,
795,ok,0,
793,ok,0,
796,ok,0,
797,ok,0,
798,ok,1,
794,ok,0,
799,ok,0,
803,ok,0,
800,ok,0,
802,ok,0,
804,ok,0,
806,ok,0,
801,ok,0,
807,ok,2,
805,ok,0,
810,ok,0,
813,ok,0,
808,ok,1,
811,ok,0,
812,ok,0,
815,ok,0,
819,ok,0,
816,ok,0,
817,ok,0,
814,ok,0,
820,ok,0,
821,ok,0,
822,ok,0,
823,ok,0,
809,ok,5,
818,ok,0,
825,ok,0,
827,ok,0,
826,ok,0,
824,ok,0,
832,ok,0,
829,ok,0,
828,ok,0,
835,ok,0,
833,ok,0,
830,ok,0,
836,ok,0,
837,ok,0,
838,ok,0,
840,ok,0,
841,ok,0,
831,ok,0,
842,ok,0,
839,ok,0,
847,ok,0,
844,ok,0,
843,ok,0,
845,ok,0,
846,ok,0,
848,ok,0,
851,ok,0,
850,ok,0,
852,ok,0,
849,ok,0,
853,ok,0,
858,ok,0,
859,ok,0,
857,ok,0,
856,ok,0,
854,ok,0,
861,ok,0,
860,ok,0,
864,ok,0,
866,ok,0,
865,ok,0,
834,ok,0,
855,ok,0,
867,ok,0,
862,ok,0,
868,ok,0,
869,ok,0,
870,ok,0,
872,ok,0,
871,ok,0,
874,ok,0,
875,ok,0,
879,ok,0,
873,ok,0,
877,ok,0,
878,ok,0,
880,ok,0,
881,ok,0,
863,ok,0,
884,ok,0,
882,ok,0,
883,ok,1,
885,ok,0,
887,ok,0,
886,ok,0,
888,ok,0,
897,ok,0,
894,ok,0,
892,ok,0,
889,ok,0,
893,ok,0,
891,ok,0,
895,ok,0,
890,ok,0,
898,ok,0,
900,ok,0,
899,ok,0,
901,ok,0,
902,ok,0,
904,ok,0,
907,ok,0,
903,ok,0,
906,ok,0,
908,ok,0,
896,ok,0,
905,ok,0,
909,ok,0,
911,ok,0,
912,ok,0,
910,ok,0,
913,ok,0,
916,ok,0,
914,ok,0,
915,ok,0,
917,ok,0,
918,ok,0,
920,ok,0,
923,ok,0,
921,ok,0,
876,ok,0,
922,ok,0,
919,ok,0,
924,ok,0,
925,ok,0,
927,ok,0,
929,ok,0,
928,ok,0,
926,ok,0,
930,ok,0,
931,ok,0,
932,ok,0,
933,ok,0,
939,ok,0,
934,ok,0,
938,ok,0,
940,ok,0,
935,ok,0,
945,ok,0,
944,ok,0,
942,ok,0,
943,ok,0,
936,ok,0,
948,ok,0,
947,ok,0,
946,ok,0,
949,ok,0,
941,ok,0,
937,ok,0,
951,ok,0,
950,ok,0,
952,ok,0,
953,ok,0,
958,ok,0,
959,ok,0,
956,ok,0,
955,ok,0,
957,ok,0,
954,ok,0,
960,ok,0,
961,ok,0,
962,ok,0,
965,ok,0,
966,ok,0,
964,ok,0,
969,ok,0,
967,ok,0,
963,ok,0,
974,ok,0,
970,ok,0,
973,ok,0,
972,ok,0,
971,ok,0,
975,ok,0,
977,ok,0,
979,ok,0,
978,ok,0,
981,ok,0,
976,ok,0,
968,ok,0,
980,ok,0,
983,ok,0,
987,ok,0,
985,ok,0,
984,ok,0,
986,ok,0,
988,ok,0,
990,ok,0,
991,ok,0,
993,ok,0,
992,ok,0,
982,ok,0,
994,ok,0,
995,ok,0,
996,ok,0,
997,ok,0,
998,ok,0,
989,ok,0,
999,ok,0,
1001,ok,0,
1002,ok,0,
1004,ok,0,
1007,ok,0,
1005,ok,0,
1008,ok,0,
1006,ok,0,
1009,ok,0,
1011,ok,0,
1003,ok,0,
1010,ok,0,
1012,ok,0,
1014,ok,0,
1000,ok,0,
1013,ok,0,
1015,ok,0,
1021,ok,0,
1016,ok,0,
1019,ok,0,
1020,ok,0,
1018,ok,0,
1022,ok,0,
1026,ok,0,
1024,ok,0,
1025,ok,0,
1028,ok,0,
1027,ok,0,
1030,ok,0,
1029,ok,0,
1017,ok,0,
1031,ok,0,
1035,ok,0,
1036,ok,0,
1034,ok,0,
1033,ok,0,
1032,ok,0,
1037,ok,0,
1041,ok,0,
1038,ok,0,
1040,ok,0,
1039,ok,0,
1042,ok,0,
1044,ok,0,
1043,ok,0,
1045,ok,0,
1046,ok,0,
1049,ok,0,
1052,ok,0,
1050,ok,0,
1048,ok,0,
1056,ok,0,
1051,ok,0,
1053,ok,0,
1047,ok,0,
1054,ok,0,
1057,ok,0,
1055,ok,0,
1058,ok,0,
1059,ok,0,
1061,ok,0,
1063,ok,0,
1062,ok,0,
1069,ok,0,
1067,ok,0,
1070,ok,0,
1066,ok,0,
1064,ok,0,
1065,ok,0,
1060,ok,0,
1023,ok,0,
1073,ok,0,
1072,ok,0,
1068,ok,0,
1074,ok,0,
1077,ok,0,
1075,ok,0,
1076,ok,0,
1078,ok,0,
1084,ok,0,
1081,ok,0,
1079,ok,0,
1071,ok,0,
1083,ok,0,
1088,ok,0,
1082,ok,0,
1087,ok,0,
1086,ok,0,
1089,ok,0,
1085,ok,0,
1090,ok,0,
1080,ok,6,
1094,ok,0,
1092,ok,0,
1095,ok,0,
1098,ok,0,
1099,ok,0,
1101,ok,0,
1096,ok,0,
1104,ok,0,
1097,ok,0,
1103,ok,0,
1093,ok,0,
1102,ok,2,
1100,ok,0,
1108,ok,0,
1105,ok,0,
1106,ok,0,
1107,ok,0,
1091,ok,6,
1111,ok,0,
1112,ok,0,
1109,ok,0,
1113,ok,0,
1117,ok,0,
1120,ok,0,
1116,ok,0,
1118,ok,0,
1119,ok,0,
1114,ok,0,
1121,ok,0,
1123,ok,0,
1122,ok,0,
1124,ok,0,
1115,ok,0,
1125,ok,0,
1126,ok,0,
1129,ok,0,
1127,ok,0,
1130,ok,0,
1110,ok,0,
1132,ok,0,
1128,ok,0,
1131,ok,0,
1133,ok,0,
1134,ok,0,
1136,ok,0,
1137,ok,0,
1138,ok,0,
1139,ok,0,
1135,ok,0,
1143,ok,0,
1140,ok,41,
1141,ok,0,
1144,ok,0,
1147,ok,0,
1145,ok,0,
1151,ok,0,
1150,ok,0,
1148,ok,1,
1153,ok,0,
1152,ok,0,
1156,ok,0,
1149,ok,0,
1158,ok,0,
1142,ok,6,
1157,ok,0,
1154,ok,17,
1146,ok,5,
1155,ok,0,
1167,ok,0,
1164,ok,0,
1163,ok,0,
1169,ok,0,
1173,ok,0,
1174,ok,0,
1159,ok,8,
1171,ok,17,
1160,ok,17,
1170,ok,0,
1175,ok,33,
1172,ok,0,
1161,ok,5,
1162,ok,6,
1165,ok,8,
1166,ok,6,
1177,ok,0,
1176,ok,31,
1168,ok,6,
1181,ok,0,
1180,ok,0,
1185,ok,0,
1182,ok,0,
1179,ok,0,
1178,ok,0,
1183,ok,0,
1186,ok,0,
1187,ok,0,
1191,ok,0,
1189,ok,0,
1192,ok,0,
1190,ok,0,
1193,ok,0,
1194,ok,0,
1195,ok,0,
1200,ok,0,
1184,ok,6,
1196,ok,16,
1203,ok,0,
1201,ok,0,
1197,ok,0,
1202,ok,0,
1198,ok,42,
1188,ok,9,
1204,ok,0,
1206,ok,0,
1205,ok,0,
1207,ok,0,
1212,ok,0,
1210,ok,0,
1209,ok,0,
1199,ok,0,
1208,ok,0,
1211,ok,0,
1213,ok,0,
1216,ok,0,
1214,ok,0,
1217,ok,0,
1220,ok,0,
1219,ok,0,
1215,ok,0,
1221,ok,0,
1218,ok,0,
1222,ok,0,
1227,ok,0,
1226,ok,0,
1224,ok,0,
1225,ok,0,
1228,ok,0,
1223,ok,0,
1229,ok,0,
1230,ok,0,
1231,ok,0,
1235,ok,0,
1233,ok,0,
1234,ok,0,
1237,ok,0,
1239,ok,1,
1236,ok,0,
1232,ok,0,
1238,ok,0,
1242,ok,0,
1240,ok,0,
1246,ok,0,
1245,ok,0,
1241,ok,0,
1247,ok,0,
1244,ok,0,
1243,ok,0,
1253,ok,0,
1248,ok,0,
1252,ok,0,
1250,ok,0,
1249,ok,0,
1255,ok,0,
1256,ok,1,
1257,ok,0,
1254,ok,0,
1260,ok,0,
1251,ok,0,
1261,ok,3,
1258,ok,0,
1259,ok,0,
1262,ok,0,
1264,ok,13,
1266,ok,0,
1269,ok,0,
1268,ok,0,
1265,ok,27,
1271,ok,3,
1270,ok,0,
1276,ok,0,
1272,ok,0,
1278,ok,0,
1274,ok,0,
1273,ok,15,
1267,ok,13,
1263,ok,5,
1280,ok,0,
1279,ok,0,
1275,ok,0,
1284,ok,0,
1285,ok,0,
1281,ok,0,
1277,ok,5,
1287,ok,0,
1283,ok,3,
1291,ok,0,
1289,ok,0,
1288,ok,0,
1290,ok,0,
1292,ok,0,
1293,ok,3,
1295,ok,0,
1286,ok,0,
1298,ok,0,
1297,ok,0,
1300,ok,0,
1307,ok,0,
1299,ok,0,
1306,ok,0,
1303,ok,0,
1302,ok,0,
1301,ok,0,
1305,ok,0,
1296,ok,0,
1304,ok,0,
1294,ok,10,
1308,ok,1,
1282,ok,5,
1312,ok,0,
1311,ok,0,
1313,ok,0,
1310,ok,0,
1314,ok,0,
1319,ok,0,
1316,ok,0,
1309,ok,0,
1315,ok,0,
1322,ok,0,
1320,ok,0,
1323,ok,0,
1328,ok,0,
1324,ok,0,
1325,ok,0,
1327,ok,0,
1329,ok,0,
1326,ok,0,
1331,ok,0,
1317,ok,7,
1330,ok,9,
1333,ok,4,
1321,ok,0,
1332,ok,0,
1335,ok,0,
1318,ok,5,
1336,ok,0,
1334,ok,4,
1338,ok,0,
1341,ok,0,
1339,ok,14,
1343,ok,0,
1340,ok,2,
1345,ok,3,
1337,ok,1,
1346,ok,1,
1344,ok,0,
1347,ok,0,
1349,ok,0,
1348,ok,0,
1351,ok,0,
1352,ok,0,
1355,ok,0,
1354,ok,0,
1357,ok,0,
1356,ok,0,
1350,ok,0,
1359,ok,4,
1362,ok,0,
1342,ok,11,
1363,ok,0,
1364,ok,3,
1353,ok,0,
1365,ok,0,
1366,ok,1,
1370,ok,0,
1367,ok,1,
1372,ok,0,
1360,ok,0,
1373,ok,0,
1374,ok,0,
1361,ok,5,
1375,ok,0,
1377,ok,0,
1378,ok,0,
1379,ok,0,
1380,ok,0,
1369,ok,10,
1382,ok,0,
1368,ok,8,
1384,ok,0,
1383,ok,0,
1385,ok,0,
1386,ok,0,
1371,ok,7,
1388,ok,0,
1376,ok,9,
1389,ok,0,
1391,ok,0,
1393,ok,0,
1397,ok,0,
1395,ok,0,
1396,ok,0,
1398,ok,0,
1392,ok,0,
1358,ok,0,
1401,ok,0,
1400,ok,0,
1399,ok,0,
1394,ok,0,
1390,ok,0,
1402,ok,0,
1381,ok,9,
1403,ok,0,
1387,ok,0,
1405,ok,0,
1406,ok,0,
1408,ok,0,
1409,ok,0,
1412,ok,0,
1414,ok,0,
1411,ok,0,
1410,ok,0,
1404,ok,0,
1416,ok,0,
1413,ok,0,
1417,ok,0,
1415,ok,0,
1407,ok,0,
1422,ok,0,
1421,ok,0,
1428,ok,9,
1425,ok,0,
1426,ok,0,
1427,ok,4,
1429,ok,0,
1431,ok,0,
1430,ok,0,
1418,ok,0,
1433,ok,2,
1419,ok,0,
1420,ok,0,
1436,ok,0,
1435,ok,0,
1434,ok,2,
1424,ok,4,
1423,ok,13,
1439,ok,0,
1440,ok,0,
1437,ok,1,
1438,ok,0,
1444,ok,0,
1432,ok,22,
1441,ok,16,
1442,ok,31,
1446,ok,0,
1443,ok,24,
1447,ok,3,
1445,ok,0,
1448,ok,0,
1449,ok,0,
1451,ok,0,
1453,ok,0,
1450,ok,14,
1452,ok,0,
1457,ok,0,
1462,ok,0,
1460,ok,0,
1454,ok,0,
1458,ok,0,
1459,ok,0,
1461,ok,0,
